series_id,replication_mode,timing_variant,statistic,published_value,reconstructed_value,difference,absolute_difference,published_rounding_tolerance,within_published_rounding,within_relative_t_ratio_band
FEDFUNDS,documented_reconstruction,pre_window_lag,autocorrelation_1,0.4,0.40310521596868576,0.0031052159686857372,0.0031052159686857372,0.005,True,
TB3MS,documented_reconstruction,within_window_lag,intercept,0.0,0.03729839606179626,0.03729839606179626,0.03729839606179626,0.0005,False,
TB3MS,documented_reconstruction,within_window_lag,slope,0.992,0.9914929259419814,-0.0005070740580186417,0.0005070740580186417,0.0005,False,
TB3MS,documented_reconstruction,within_window_lag,t_intercept,0.89,0.9375902036034844,0.04759020360348443,0.04759020360348443,0.005,False,False
TB3MS,documented_reconstruction,within_window_lag,t_slope,153.18,153.25024494958157,0.07024494958156424,0.07024494958156424,0.005,False,True
TB3MS,documented_reconstruction,within_window_lag,r_squared,0.98,0.979113371001271,-0.0008866289987289333,0.0008866289987289333,0.005,True,
TB3MS,documented_reconstruction,within_window_lag,mean,0.0,4.5627296948412e-15,4.5627296948412e-15,4.5627296948412e-15,0.005,True,
TB3MS,documented_reconstruction,within_window_lag,standard_deviation,0.49,0.4851879692710217,-0.004812030728978289,0.004812030728978289,0.005,True,
TB3MS,documented_reconstruction,within_window_lag,minimum,-4.54,-4.545005018495949,-0.005005018495949365,0.005005018495949365,0.005,False,
TB3MS,documented_reconstruction,within_window_lag,maximum,2.69,2.6891634477924793,-0.0008365522075206577,0.0008365522075206577,0.005,True,
TB3MS,documented_reconstruction,within_window_lag,autocorrelation_1,0.33,0.329003936902392,-0.0009960630976080243,0.0009960630976080243,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,intercept,0.0,0.035378550882028785,0.035378550882028785,0.035378550882028785,0.0005,False,
TB3MS,documented_reconstruction,pre_window_lag,slope,0.992,0.9916216245667444,-0.0003783754332555844,0.0003783754332555844,0.0005,True,
TB3MS,documented_reconstruction,pre_window_lag,t_intercept,0.89,0.889325053806923,-0.0006749461930770639,0.0006749461930770639,0.005,True,True
TB3MS,documented_reconstruction,pre_window_lag,t_slope,153.18,153.18187679887433,0.0018767988743206843,0.0018767988743206843,0.005,True,True
TB3MS,documented_reconstruction,pre_window_lag,r_squared,0.98,0.9790542601049339,-0.0009457398950660778,0.0009457398950660778,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,mean,0.0,9.903894283164095e-16,9.903894283164095e-16,9.903894283164095e-16,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,standard_deviation,0.49,0.48552513418944115,-0.004474865810558837,0.004474865810558837,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,minimum,-4.54,-4.544783995163055,-0.004783995163054833,0.004783995163054833,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,maximum,2.69,2.689321408799241,-0.0006785912007587491,0.0006785912007587491,0.005,True,
TB3MS,documented_reconstruction,pre_window_lag,autocorrelation_1,0.33,0.3293213393346585,-0.0006786606653415017,0.0006786606653415017,0.005,True,
