omitted_family,portfolio_set,model,n_assets,n_months,lambda_rate,lambda_market,shanken_se_lambda_rate,baseline_lambda_rate,baseline_lambda_market,asset,family,decile,beta_rate,baseline_beta_rate,pi_rate,baseline_pi_rate,pi_rate_change,family_spread_baseline,family_spread_refit,family_spread_change,family_material_baseline,family_material_refit,family_sign_reversal,family_materiality_lost,family_gate_passes
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_03,earnings_to_price,decile_03,-0.11713719354840524,-0.11713719354840524,0.07938289096040199,0.08181617796532577,-0.002433287004923776,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_04,earnings_to_price,decile_04,-0.05449604576900344,-0.05449604576900344,0.0369315119135597,0.03806355645016242,-0.0011320445366027193,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_05,earnings_to_price,decile_05,-0.17985100381793068,-0.17985100381793068,0.12188351276571974,0.12561955165444233,-0.0037360388887225926,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_06,earnings_to_price,decile_06,-0.24684352196199272,-0.24684352196199272,0.16728377891427842,0.17241145114241258,-0.00512767222813415,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_07,earnings_to_price,decile_07,-0.2028675136929416,-0.2028675136929416,0.137481607942398,0.14169576802116277,-0.004214160078764767,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_08,earnings_to_price,decile_08,-0.2763733051652346,-0.2763733051652346,0.18729586464978457,0.1930369580770272,-0.005741093427242633,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_09,earnings_to_price,decile_09,-0.53996682842143,-0.53996682842143,0.36593097857598483,0.3771476914481848,-0.011216712872199941,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_10,earnings_to_price,decile_10,-0.21546339895102934,-0.21546339895102934,0.14601773345217745,0.1504935474342462,-0.004475813982068755,0.40711206367007624,0.39500418331301623,-0.012107880357060008,True,True,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,inventory_growth__decile_01,inventory_growth,decile_01,0.1378085262815926,0.1378085262815926,-0.09339167931067693,-0.09625437121929029,0.0028626919086133518,-0.1907630266549669,-0.18508956200136034,0.005673464653606547,False,False,False,False,True
equity_duration,all_seven_families_joint__minus__equity_duration,market_plus_fedfunds_innovation,60,504,-0.6776915901403953,0.5994367474000474,0.24054374407107282,-0.6984645567038997,0.6012277352967575,inventory_growth__decile_02,inventory_growth,decile_02,-0.03906799453335866,-0.03906799453335866,0.026476051338908096,0.027287609483052734,-0.0008115581441446376,-0.1907630266549669,-0.18508956200136034,0.005673464653606547,False,False,False,False,True
