portfolio_set,model,asset,family,decile,n_assets,beta_rate,lambda_rate_full,lambda_rate_leave_one_out,delta_lambda_rate,shanken_se_lambda_rate_full,shanken_se_lambda_rate_leave_one_out,standardized_dfbeta,abs_standardized_dfbeta,reaches_threshold,role
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_04,inventory_growth,decile_04,70,-0.2787481552267323,-0.6984645567038997,-0.7048003831727132,0.006335826468813477,0.2442575678446596,0.2473066077632149,0.025939120432259728,0.025939120432259728,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_05,inventory_growth,decile_05,70,-0.41941719616829937,-0.6984645567038997,-0.7203610713890796,0.021896514685179835,0.2442575678446596,0.2552644200573262,0.08964518429621536,0.08964518429621536,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_06,inventory_growth,decile_06,70,-0.16239124077594566,-0.6984645567038997,-0.6993582360153305,0.0008936793114308061,0.2442575678446596,0.24475858321659802,0.0036587579222894704,0.0036587579222894704,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_07,inventory_growth,decile_07,70,0.20886192148974358,-0.6984645567038997,-0.7002904203498108,0.0018258636459110855,0.2442575678446596,0.24791403319677133,0.007475156909251956,0.007475156909251956,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_08,inventory_growth,decile_08,70,-0.010938040972533189,-0.6984645567038997,-0.698565260190921,0.00010070348702129195,0.2442575678446596,0.24409412274375306,0.00041228399967257643,0.00041228399967257643,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_09,inventory_growth,decile_09,70,0.1661039221859966,-0.6984645567038997,-0.6995494778303425,0.0010849211264427616,0.2442575678446596,0.24287925494696067,0.0044417093644883035,0.0044417093644883035,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_10,inventory_growth,decile_10,70,0.41092621682725206,-0.6984645567038997,-0.6980973906444184,-0.0003671660594812831,0.2442575678446596,0.24710509868056368,-0.0015031921537628245,0.0015031921537628245,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_01,investment_to_assets,decile_01,70,-0.12781201524500202,-0.6984645567038997,-0.6979261009168665,-0.0005384557870332651,0.2442575678446596,0.24373956272572966,-0.0022044589724880366,0.0022044589724880366,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_02,investment_to_assets,decile_02,70,-0.36185415680021554,-0.6984645567038997,-0.7009199465127249,0.0024553898088252035,0.2442575678446596,0.24711442964902694,0.01005246154905938,0.01005246154905938,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_03,investment_to_assets,decile_03,70,-0.1564290620165728,-0.6984645567038997,-0.6963809363338674,-0.002083620370032291,0.2442575678446596,0.24304763006827793,-0.008530422981028822,0.008530422981028822,False,confirmatory
