regime_id,reference_regime,estimand,point_change,lower_90,upper_90,bound,one_sided_bound,tost_5pct_90pct_interval_passes,decision_category,strict_95pct_interval_sensitivity_passes,rule,sensitivity_rule
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_03,-0.06063033595346777,-0.19716899754597372,0.08665287134407056,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_04,-0.20303415344382408,-0.26222628069211285,-0.023332410352942232,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_05,-0.2925559703088314,-0.36729412980031867,-0.052938655700976826,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_06,-0.15038080019321493,-0.3175403613021818,0.006152376671955685,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_07,0.15636534481291045,-0.05532327699387911,0.23660332253755434,0.25,False,True,equivalent_within_bound,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_08,-0.002645545543288585,-0.08541018241494192,0.11256486929228526,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_09,0.0732362270199288,-0.06508654319375941,0.3517057336030855,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_10,0.3256323010211782,0.06894403851124141,0.5318065998889459,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_01,-0.047344269197850695,-0.3195667203076609,0.05818979677768366,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_02,-0.22752044920903866,-0.5049100670535223,-0.012326237505403707,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_03,-0.08843094235693284,-0.27113100513944705,0.1077504652009701,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_04,-0.1016931004543843,-0.18679359960044137,0.13143264005652183,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_05,-0.20019122036621356,-0.3702929629964292,-0.03927275488003661,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_06,-0.06647229596320989,-0.18570149578180645,0.08390924557796109,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_07,-0.03701222215773918,-0.15004466329436955,0.10044128932592938,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_08,-0.041531925939544634,-0.18420888376829517,0.11445502068690554,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__investment_to_assets__decile_09,0.12922881464035818,-0.10159052135591197,0.5046606099704428,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
