asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__earnings_to_price__decile_07,joint_rate_beta_regime_interactions,5.0,3.228407220959046,0.6648190492856072,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_08,joint_regime_factor_interactions,10.0,41.771007136592644,8.235813705956151e-06,10.0,648.0,0.0005270920771811937,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_08,joint_rate_beta_regime_interactions,5.0,18.25676557472394,0.0026412371885868023,5.0,648.0,0.10300825035488528,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_09,joint_regime_factor_interactions,10.0,70.95314197986644,2.901304050186093e-11,10.0,648.0,3.1334083742009805e-09,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_09,joint_rate_beta_regime_interactions,5.0,27.267774681546715,5.058544582861929e-05,5.0,648.0,0.0028327849664026806,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_10,joint_regime_factor_interactions,10.0,54.15146726711519,4.5470191056648936e-08,10.0,648.0,4.001376812985107e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_10,joint_rate_beta_regime_interactions,5.0,34.16312865270737,2.20941909755052e-06,5.0,648.0,0.00016128759412118796,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_01,joint_regime_factor_interactions,10.0,95.71536939441847,3.9112227688914484e-16,10.0,648.0,4.810804005736481e-14,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_01,joint_rate_beta_regime_interactions,5.0,34.438669205291276,1.9470750301597544e-06,5.0,648.0,0.0001460306272619816,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_02,joint_regime_factor_interactions,10.0,87.22938665361845,1.894204676448936e-14,10.0,648.0,2.2351615182097446e-12,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_02,joint_rate_beta_regime_interactions,5.0,53.375098931233026,2.8167291693096285e-10,5.0,648.0,2.9293983360820136e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_03,joint_regime_factor_interactions,10.0,71.92686899240368,1.879881396935247e-11,10.0,648.0,2.0490707226594193e-09,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_03,joint_rate_beta_regime_interactions,5.0,42.044327899076606,5.769988413706558e-08,5.0,648.0,4.96219003578764e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_04,joint_regime_factor_interactions,10.0,41.93272923847711,7.708187726391447e-06,10.0,648.0,0.000501032202215444,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_04,joint_rate_beta_regime_interactions,5.0,4.760127504681742,0.4458502843184293,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_05,joint_regime_factor_interactions,10.0,55.58908649124363,2.450723682063884e-08,10.0,648.0,2.2056513138574957e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_05,joint_rate_beta_regime_interactions,5.0,25.250392970446814,0.00012464705569864763,5.0,648.0,0.006356999840631029,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_06,joint_regime_factor_interactions,10.0,64.37434416320258,5.338456732144518e-10,10.0,648.0,5.391841299465963e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_06,joint_rate_beta_regime_interactions,5.0,19.220237918782345,0.0017487489511627478,5.0,648.0,0.06994995804650991,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_07,joint_regime_factor_interactions,10.0,49.20374226262994,3.73757791756297e-07,10.0,648.0,3.0274381132260055e-05,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_07,joint_rate_beta_regime_interactions,5.0,5.246346797926552,0.386561419441765,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_08,joint_regime_factor_interactions,10.0,36.01671265551447,8.362123864257439e-05,10.0,648.0,0.004515546886699017,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_08,joint_rate_beta_regime_interactions,5.0,26.69107842518275,6.551175544825597e-05,5.0,648.0,0.0036031465496540785,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_09,joint_regime_factor_interactions,10.0,104.5741637147941,6.595162386117438e-18,10.0,648.0,8.441807854230321e-16,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_09,joint_rate_beta_regime_interactions,5.0,53.487423604734644,2.6709965144212724e-10,5.0,648.0,2.804546340142336e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__equity_duration__decile_10,joint_regime_factor_interactions,10.0,13.997157769919344,0.17312129027899406,10.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
