model,portfolio_set,statistic,generated_value,shanken_t_statistic,empirical_p_value,bootstrap_t_statistic_median,replication_status
market_plus_fedfunds_innovation,all_seven_families_joint,lambda_rate,-0.6984645567039003,-2.859541110096135,0.0026,-1.9248683575484712e-05,documented_reconstruction
market_plus_fedfunds_innovation,all_seven_families_joint,r2_ols,0.543937122181295,,0.0006,,documented_reconstruction
market_plus_fedfunds_innovation,book_to_market,chi_square,3.6831584275667875,,0.3392,,documented_reconstruction
market_plus_fedfunds_innovation,book_to_market,lambda_market,0.6042011361324355,2.8449607402149235,0.0,0.022266057972340093,documented_reconstruction
market_plus_fedfunds_innovation,book_to_market,lambda_rate,-0.7601301178391231,-2.0792065523707293,0.0098,-0.019279393331971022,documented_reconstruction
market_plus_fedfunds_innovation,book_to_market,r2_ols,0.7065967164420084,,0.0238,,documented_reconstruction
market_plus_fedfunds_innovation,earnings_to_price,chi_square,7.345788494285984,,0.1682,,documented_reconstruction
market_plus_fedfunds_innovation,earnings_to_price,lambda_market,0.5945909704846363,2.7867122327883154,0.0002,-0.012777139581643643,documented_reconstruction
market_plus_fedfunds_innovation,earnings_to_price,lambda_rate,-0.728113228818023,-2.1741196009777948,0.009,-0.03805329283125443,documented_reconstruction
market_plus_fedfunds_innovation,earnings_to_price,r2_ols,0.4937262614446586,,0.048,,documented_reconstruction
market_plus_fedfunds_innovation,equity_duration,chi_square,4.927467480932092,,0.2846,,documented_reconstruction
market_plus_fedfunds_innovation,equity_duration,lambda_market,0.6130781161226813,2.8924369709351505,0.0008,0.03672529302672774,documented_reconstruction
market_plus_fedfunds_innovation,equity_duration,lambda_rate,-0.7782407946162455,-2.522881178763256,0.0026,-0.03022712874676721,documented_reconstruction
market_plus_fedfunds_innovation,equity_duration,r2_ols,0.6814964925157465,,0.0204,,documented_reconstruction
market_plus_fedfunds_innovation,inventory_growth,chi_square,7.241055178426617,,0.212,,documented_reconstruction
market_plus_fedfunds_innovation,inventory_growth,lambda_market,0.6090779448738207,2.927818781996349,0.0002,-0.026514892946055628,documented_reconstruction
market_plus_fedfunds_innovation,inventory_growth,lambda_rate,-0.40423261838110414,-2.033881304257437,0.0176,0.06017192209351528,documented_reconstruction
market_plus_fedfunds_innovation,inventory_growth,r2_ols,0.19325767117945925,,0.066,,documented_reconstruction
market_plus_fedfunds_innovation,investment_to_assets,chi_square,3.092728760242238,,0.596,,documented_reconstruction
market_plus_fedfunds_innovation,investment_to_assets,lambda_market,0.5737205443993564,2.7340975258212947,0.001,0.018921065889049068,documented_reconstruction
market_plus_fedfunds_innovation,investment_to_assets,lambda_rate,-0.7948946378842637,-2.252017314927917,0.0088,-0.026942050551499397,documented_reconstruction
market_plus_fedfunds_innovation,investment_to_assets,r2_ols,0.6894547903963302,,0.004,,documented_reconstruction
market_plus_fedfunds_innovation,long_term_reversal,chi_square,5.742971369780819,,0.1784,,documented_reconstruction
market_plus_fedfunds_innovation,long_term_reversal,lambda_market,0.6384767175957474,3.0055280553100308,0.0,0.03545858497368763,documented_reconstruction
market_plus_fedfunds_innovation,long_term_reversal,lambda_rate,-0.5640007624526672,-1.9648439772350574,0.018,-0.06278325015573723,documented_reconstruction
market_plus_fedfunds_innovation,long_term_reversal,r2_ols,0.48638654097811473,,0.0522,,documented_reconstruction
market_plus_fedfunds_innovation,ppe_investment,chi_square,5.0534080485035435,,0.5032,,documented_reconstruction
market_plus_fedfunds_innovation,ppe_investment,lambda_market,0.5675976289970601,2.7069443082973237,0.0016,0.020571572866116307,documented_reconstruction
market_plus_fedfunds_innovation,ppe_investment,lambda_rate,-0.8133571965247121,-2.4428835225500607,0.0046,-0.03481340804828087,documented_reconstruction
market_plus_fedfunds_innovation,ppe_investment,r2_ols,0.5607287089233997,,0.0134,,documented_reconstruction
market_plus_tbill_innovation,all_seven_families_joint,chi_square,46.76628791355078,,0.278,,documented_reconstruction
market_plus_tbill_innovation,all_seven_families_joint,lambda_market,0.6199769314921554,2.966814351694131,0.0008,-0.07704596715759546,documented_reconstruction
market_plus_tbill_innovation,all_seven_families_joint,lambda_rate,-0.48187879970084796,-3.0248461699900466,0.001,-0.025560389394430824,documented_reconstruction
market_plus_tbill_innovation,all_seven_families_joint,r2_ols,0.46789982993771595,,0.0026,,documented_reconstruction
market_plus_tbill_innovation,book_to_market,chi_square,3.6535415853323245,,0.3518,,documented_reconstruction
market_plus_tbill_innovation,book_to_market,lambda_market,0.6152014091059533,2.91736882402899,0.0004,0.009069184429010854,documented_reconstruction
market_plus_tbill_innovation,book_to_market,lambda_rate,-0.5429208116279893,-2.2865602420109683,0.0046,0.026740228886701006,documented_reconstruction
market_plus_tbill_innovation,book_to_market,r2_ols,0.7588600282723235,,0.0116,,documented_reconstruction
market_plus_tbill_innovation,earnings_to_price,chi_square,11.264252790556066,,0.0606,,documented_reconstruction
market_plus_tbill_innovation,earnings_to_price,lambda_market,0.6306360775703715,2.985798449247821,0.0,-0.038887529093021775,documented_reconstruction
market_plus_tbill_innovation,earnings_to_price,lambda_rate,-0.4031826348090152,-2.641908989850074,0.001,-0.05451813579168642,documented_reconstruction
market_plus_tbill_innovation,earnings_to_price,r2_ols,0.2750478530877981,,0.1072,,documented_reconstruction
market_plus_tbill_innovation,equity_duration,chi_square,5.2272965442537345,,0.2592,,documented_reconstruction
market_plus_tbill_innovation,equity_duration,lambda_market,0.6284841239693875,2.971322558788449,0.0002,-0.00029596291625295977,documented_reconstruction
market_plus_tbill_innovation,equity_duration,lambda_rate,-0.5683153273070349,-2.794136233971867,0.0004,0.04457498533622754,documented_reconstruction
market_plus_tbill_innovation,equity_duration,r2_ols,0.6908043155088103,,0.013,,documented_reconstruction
market_plus_tbill_innovation,inventory_growth,chi_square,7.238882812683578,,0.2226,,documented_reconstruction
market_plus_tbill_innovation,inventory_growth,lambda_market,0.6083266419663008,2.924297633595435,0.0,-0.07649532385031116,documented_reconstruction
market_plus_tbill_innovation,inventory_growth,lambda_rate,-0.3359693945625063,-1.913495111756219,0.0278,-0.04626908001038403,documented_reconstruction
market_plus_tbill_innovation,inventory_growth,r2_ols,0.15133011280936937,,0.0736,,documented_reconstruction
market_plus_tbill_innovation,investment_to_assets,chi_square,4.439834854647197,,0.4244,,documented_reconstruction
market_plus_tbill_innovation,investment_to_assets,lambda_market,0.5990980322410318,2.868552052812312,0.0004,0.04575290943041994,documented_reconstruction
market_plus_tbill_innovation,investment_to_assets,lambda_rate,-0.5511039266827739,-2.5411462156419042,0.0016,0.02029557189472222,documented_reconstruction
market_plus_tbill_innovation,investment_to_assets,r2_ols,0.5752013482669605,,0.0108,,documented_reconstruction
market_plus_tbill_innovation,long_term_reversal,chi_square,6.723161009685251,,0.128,,documented_reconstruction
market_plus_tbill_innovation,long_term_reversal,lambda_market,0.6785969073758267,3.2049645602097696,0.0,-0.0454233904647736,documented_reconstruction
market_plus_tbill_innovation,long_term_reversal,lambda_rate,-0.36506383668440207,-2.2058206662396374,0.0054,-0.0033570078896403566,documented_reconstruction
market_plus_tbill_innovation,long_term_reversal,r2_ols,0.4932284246961248,,0.0468,,documented_reconstruction
market_plus_tbill_innovation,ppe_investment,chi_square,6.560663747577622,,0.3736,,documented_reconstruction
market_plus_tbill_innovation,ppe_investment,lambda_market,0.5801638516760613,2.7636136576802484,0.0012,0.026912637481495194,documented_reconstruction
market_plus_tbill_innovation,ppe_investment,lambda_rate,-0.7219733744949924,-2.1074050063225336,0.0172,-0.06679225554047616,documented_reconstruction
market_plus_tbill_innovation,ppe_investment,r2_ols,0.3995255436953956,,0.0338,,documented_reconstruction
q_factor,all_seven_families_joint,chi_square,81.45491169522623,,0.0624,,documented_reconstruction
q_factor,all_seven_families_joint,lambda_ia,0.327183264735481,3.008994532332835,0.0014,-0.003293398321229998,documented_reconstruction
q_factor,all_seven_families_joint,lambda_market,0.6079724641094095,2.9385240076885077,0.0016,0.04111216338082467,documented_reconstruction
q_factor,all_seven_families_joint,lambda_me,0.08431529508186224,0.43794278451244906,0.8244,-0.021481455107376403,documented_reconstruction
q_factor,all_seven_families_joint,lambda_roe,-0.195863726429288,-1.0938956742719124,0.472,-0.01215100789475456,documented_reconstruction
q_factor,all_seven_families_joint,r2_ols,0.6867979266675954,,0.0,,documented_reconstruction
