portfolio_set,model,n_assets,n_months,n_factors,article_cross_sectional_fit,chi_square_statistic,chi_square_degrees_of_freedom,chi_square_asymptotic_p_value,root_mean_squared_pricing_error,mean_absolute_pricing_error,max_absolute_pricing_error,shanken_multiplier,pseudo_inverse_rcond,beta_matrix_rank,lambda_RM,shanken_t_RM,shanken_se_RM,article_constrained_fit,constrained_fit_applicable,mean_pricing_error,replication_status,lambda_FFR_innovation,shanken_t_FFR_innovation,shanken_se_FFR_innovation,lambda_TB_innovation,shanken_t_TB_innovation,shanken_se_TB_innovation,lambda_SMB,shanken_t_SMB,shanken_se_SMB,lambda_HML,shanken_t_HML,shanken_se_HML,lambda_UMD,shanken_t_UMD,shanken_se_UMD,lambda_RMW,shanken_t_RMW,shanken_se_RMW,lambda_CMA,shanken_t_CMA,shanken_se_CMA,lambda_ME,shanken_t_ME,shanken_se_ME,lambda_IA,shanken_t_IA,shanken_se_IA,lambda_ROE,shanken_t_ROE,shanken_se_ROE,lambda_LIQ,shanken_t_LIQ,shanken_se_LIQ
book_to_market,market_plus_tbill_innovation,10,504,2,0.7588600282723224,3.653541585332329,8,0.8869521944208288,0.07972319604863445,0.057984931741581015,0.16337088516506992,2.250776389546534,1e-15,2,0.6152014091059532,2.9173688240289897,0.210875431326622,,False,0.00044555850952435194,documented_reconstruction,,,,-0.54292081162799,-2.2865602420109696,0.23743997715560095,,,,,,,,,,,,,,,,,,,,,,,,,,,
earnings_to_price,market_plus_tbill_innovation,10,504,2,0.27504785308779944,11.26425279055606,8,0.1871711012773287,0.1316673715063717,0.10552571234269192,0.2713408559209578,1.6901333784293484,1e-15,2,0.6306360775703714,2.985798449247821,0.2112118712263517,,False,0.0028770290973298305,documented_reconstruction,,,,-0.4031826348090154,-2.6419089898500725,0.15261034212684815,,,,,,,,,,,,,,,,,,,,,,,,,,,
equity_duration,market_plus_tbill_innovation,10,504,2,0.6908043155088104,5.227296544253728,8,0.7330290827120012,0.09465873429822619,0.07523919035051836,0.18702927716932538,2.370669154969658,1e-15,2,0.6284841239693874,2.9713225587884486,0.21151662653066203,,False,0.001132652036815518,documented_reconstruction,,,,-0.5683153273070349,-2.7941362339718663,0.20339571148940522,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_term_reversal,market_plus_tbill_innovation,10,504,2,0.4932284246961224,6.7231610096852625,8,0.5667746858797338,0.09870725095598586,0.08464132972108933,0.1713594784688821,1.5673700765140475,1e-15,2,0.6785969073758266,3.2049645602097687,0.21173304560079492,,False,-0.002716493853544022,documented_reconstruction,,,,-0.3650638366844026,-2.2058206662396396,0.16550023411773684,,,,,,,,,,,,,,,,,,,,,,,,,,,
investment_to_assets,market_plus_tbill_innovation,10,504,2,0.5752013482669578,4.439834854647229,8,0.8154218284445547,0.07890995118098451,0.06794122740914715,0.1411882830018365,2.289014142305005,1e-15,2,0.5990980322410315,2.8685520528123107,0.2088503263009223,,False,0.0014815089426616801,documented_reconstruction,,,,-0.5511039266827742,-2.5411462156419033,0.21687218283248735,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppe_investment,market_plus_tbill_innovation,10,504,2,0.3995255436953954,6.560663747577636,8,0.5846869264802899,0.10679459861415329,0.09448862330442345,0.1790801676310505,3.217212296842371,1e-15,2,0.5801638516760612,2.763613657680248,0.20992943426218463,,False,0.0025222033993057115,documented_reconstruction,,,,-0.7219733744949922,-2.107405006322532,0.342588810565109,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory_growth,market_plus_tbill_innovation,10,504,2,0.1513301128093677,7.238882812683595,8,0.5110921540592064,0.09734438630001711,0.07545007047205962,0.21075403796902126,1.480257587504852,1e-15,2,0.6083266419663007,2.9242976335954345,0.20802487235827666,,False,0.0008176915288801156,documented_reconstruction,,,,-0.3359693945625067,-1.9134951117562196,0.17557891446827453,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_seven_families_joint,market_plus_tbill_innovation,70,504,2,0.4678998299377156,46.766287913550784,68,0.9770240421217103,0.10841781595842355,0.08581559393747268,0.2781165481913268,1.9850372152578228,1e-15,2,0.6199769314921554,2.966814351694131,0.20897058528051538,,False,0.0008277065666098648,documented_reconstruction,,,,-0.4818787997008484,-3.024846169990047,0.15930687797668533,,,,,,,,,,,,,,,,,,,,,,,,,,,
book_to_market,fama_french_3,10,504,3,0.9333953083870201,4.172939835586958,7,0.7596566343380429,0.04189863001457479,0.033547955231723506,0.08306839625500395,1.0575894817690463,1e-15,3,0.5876321748299665,2.820968315827217,0.20830867597236735,0.9018491148666087,True,0.00018198047211637758,documented_reconstruction,,,,,,,0.5344702019965415,0.9428869971157336,0.5668443871126356,0.23569479214229122,1.0180655521473565,0.23151239293496534,,,,,,,,,,,,,,,,,,,,,
earnings_to_price,fama_french_3,10,504,3,0.8017231501659835,10.78717819498128,7,0.14817537618621832,0.0688595842988785,0.05552169412672038,0.12571519306792278,1.062912465337753,1e-15,3,0.6054757292675852,2.9007335648814614,0.20873193477606689,0.7930516356984002,True,0.0015397311844860373,documented_reconstruction,,,,,,,-0.06571552949468895,-0.14037392981264246,0.4681462546670858,0.4917168229767165,2.703689938228747,0.18186879198834913,,,,,,,,,,,,,,,,,,,,,
equity_duration,fama_french_3,10,504,3,0.8021943616811703,9.295359962485538,7,0.2321402529674047,0.0757497497740623,0.06645024980052304,0.14920671398004792,1.081231392795376,1e-15,3,0.5988410644928033,2.8813947158736046,0.20783027788375802,0.7503797203677247,True,0.0025642613014422665,documented_reconstruction,,,,,,,-0.2561670870421834,-0.7426104373055085,0.3449548702434905,0.5704327897586303,3.1529500353704942,0.1809203391615435,,,,,,,,,,,,,,,,,,,,,
long_term_reversal,fama_french_3,10,504,3,0.8115476440380982,6.572304896311303,7,0.47472521464556483,0.060170108076092875,0.044534212532169756,0.12050646196336368,1.0637703092687247,1e-15,3,0.6496860208012846,3.1072656418757023,0.20908608908284435,0.7261738717569981,True,0.0001633429124067165,documented_reconstruction,,,,,,,-0.008845826643571475,-0.03946755624006441,0.22412906919714165,0.47534809346164575,2.1282875303099433,0.22334768525962306,,,,,,,,,,,,,,,,,,,,,
investment_to_assets,fama_french_3,10,504,3,0.721411331809354,6.322645486339113,7,0.5026208247977642,0.06389616378737879,0.04752297733660326,0.12438168620816226,1.07033727633818,1e-15,3,0.6204761350182408,2.998552957783164,0.20692518816708177,0.559928150347134,True,0.0007435419715218161,documented_reconstruction,,,,,,,-0.1291571842423363,-0.5267918548026155,0.24517688165609625,0.5225780397655124,2.6802221046416186,0.19497564730195674,,,,,,,,,,,,,,,,,,,,,
ppe_investment,fama_french_3,10,504,3,0.4553587443197823,14.903509753624467,7,0.0372563521501166,0.10168324958434638,0.07702004740589466,0.2036852318325525,1.1340125556757825,1e-15,3,0.6247844039858369,3.017735849105303,0.2070374728692946,0.17895229791237066,True,0.0007953002345689631,documented_reconstruction,,,,,,,-0.45239562889928764,-1.462057439407942,0.30942397795430293,0.7658568802367264,2.8136668712702293,0.2721917395611871,,,,,,,,,,,,,,,,,,,,,
inventory_growth,fama_french_3,10,504,3,0.5525039099844584,7.4532770820678325,7,0.38325632511188445,0.07068490064617712,0.06177759755710659,0.11203122447258129,1.1157164641164115,1e-15,3,0.6204213141108105,2.989672453910171,0.20752150065782823,0.44240676687658576,True,0.00036646062466030307,documented_reconstruction,,,,,,,0.3307668127555553,1.0427160604217074,0.3172165705607169,0.7047179415267009,2.4024057600627193,0.2933384331830369,,,,,,,,,,,,,,,,,,,,,
all_seven_families_joint,fama_french_3,70,504,3,0.7115750180385234,82.31460775763098,67,0.09845467031129645,0.0798284986495755,0.06296777583480356,0.24093256777187283,1.0621412090128872,1e-15,3,0.6117235913476131,2.9527391191677403,0.20717156736827927,0.6755401693026868,True,0.0012139988988856044,documented_reconstruction,,,,,,,-0.03678613840685879,-0.1961556105955564,0.18753548927390265,0.4853818948769862,3.145352822569205,0.15431715367324475,,,,,,,,,,,,,,,,,,,,,
